,direction,area,long,lat,bellat,bellong,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,x0,y0,x1,y1,PHV,width
18,arrival,Eversdal,18.6517064,-33.862527,-33.905803999999996,18.629444,0.0,14.0,48.0,78.0,40.0,0.0,29.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,2076298.4588736417,-4010357.664339962,2073820.2198418058,-4016160.806763937,140.0,1.0347383047707273
19,arrival,Groote Schuur Hospital,18.4617185,-33.9410382,-33.905803999999996,18.629444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2055149.1025887586,-4020887.642018172,2073820.2198418058,-4016160.806763937,0.0,1.0046317739694304
20,arrival,Gugulethu,18.5670952,-33.9820184,-33.905803999999996,18.629444,0.0,0.0,59.0,45.0,30.0,20.0,59.0,20.0,45.0,29.0,30.0,30.0,68.0,29.0,0.0,0.0,2066879.5831742343,-4026387.792065942,2073820.2198418058,-4016160.806763937,104.0,1.1574803149606299
21,arrival,Harare,18.672491100000002,-34.058293299999995,-33.905803999999996,18.629444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,2078612.201093933,-4036632.0804442083,2073820.2198418058,-4016160.806763937,0.0,1.0
22,arrival,Harare/Makhaza,18.712196,-34.041435,-33.905803999999996,18.629444,0.0,0.0,68.0,75.0,47.0,0.0,15.0,22.0,0.0,15.0,25.0,24.0,39.0,15.0,9.0,0.0,2083032.1303439306,-4034367.0921717077,2073820.2198418058,-4016160.806763937,143.0,1.0903195924038906
23,arrival,Heideveld - Cape Town,18.5537373,-33.9666112,-33.905803999999996,18.629444,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2065392.588548167,-4024319.606688054,2073820.2198418058,-4016160.806763937,15.0,1.0
24,arrival,Highbury Park,18.6799721,-33.947499900000004,-33.905803999999996,18.629444,0.0,0.0,30.0,44.0,15.0,9.0,0.0,0.0,6.0,15.0,0.0,15.0,14.0,0.0,0.0,0.0,2079444.9822045574,-4021754.721986201,2073820.2198418058,-4016160.806763937,74.0,1.032422417786012
25,arrival,Karl Bremer,18.6079139,-33.8915696,-33.905803999999996,18.629444,0.0,0.0,20.0,0.0,4.0,16.0,8.0,8.0,0.0,20.0,18.0,4.0,4.0,0.0,0.0,0.0,2071423.5000730774,-4014251.748558113,2073820.2198418058,-4016160.806763937,20.0,1.0092635479388605
26,arrival,Kensington,18.5077307,-33.9105051,-33.905803999999996,18.629444,0.0,91.0,281.0,182.0,133.0,74.0,154.0,104.0,51.0,20.0,142.0,96.0,203.0,154.0,74.0,0.0,2060271.1572630368,-4016791.3686572816,2073820.2198418058,-4016160.806763937,554.0,1.4701250578971745
27,arrival,Khayelitsha,18.6769451,-34.037444,-33.905803999999996,18.629444,0.0,166.0,467.0,328.0,193.0,119.0,265.0,152.0,86.0,29.0,246.0,138.0,303.0,199.0,104.0,0.0,2079108.0181059262,-4033830.9493236546,2073820.2198418058,-4016160.806763937,961.0,1.7017137563686893
