TAZ Number,Area_Name,EmployedIF2,Other1,Other2,Other3,Other4,Other5,Retired1,Retired2,Retired3,Retired4,Retired5,School1,School2,School3,School4,School5,Student1,Student2,Student3,Student4,Student5,Unemployed2,EmployedF1,EmployedF2,EmployedF3,EmployedF4,EmployedF5,EmployedIF1,EmployedIF2,EmployedIF3,EmployedIF4,EmployedIF5
4,Blanco,9.714555231,7.771381579,8.178991016,6.706730769,6.616102684,7.208013268,0.922652715,0.621537484,0.551432849,0.51856961,0.560800604,17.8212383,20.51717218,15.36689671,15.39802921,12.81866578,0.603677486,0.679280397,0.522484756,0.52027027,0.449318182,6.166985224,17.99141725,22.78452579,17.93028645,18.11026474,15.30772067,0.405560272,0.579918757,0.46599092,0.478683077,0.39537424
6,Thembalethu SP,14.57183285,15.04643963,6.928086508,2.524886878,1.660512046,2.170883996,0,0,0,0,0,44.67076298,22.49992411,7.489747975,5.0032812,4.998202457,1.461000975,0.719238067,0.245875179,0.163222046,0.16915508,30.98339884,11.52589064,6.385974356,2.233530493,1.503966622,1.525475278,1.963048038,1.228063249,0.43857969,0.300350166,0.297693546
6,Thembalethu SP,19.42911046,9.71659919,2.236988996,6.725838264,2.412709811,3.154275892,0,0,0,0,0,27.45459212,6.91421187,18.98815564,6.918772588,6.911749463,1.132171696,0.278679137,0.785959975,0.284592285,0.294937063,32.39383504,19.84832069,5.498528094,15.86591461,5.827335058,5.910673443,3.042444822,0.951661549,2.80391118,1.047374939,1.038110825
1,Loerie Park,0,0,1.040962493,0,2.806831442,27.1545518,0,0.640371953,0,1.780946134,17.10271903,0,2.664567816,0,6.665813511,49.27694899,0,0.247011053,0,0.630630631,4.836297521,1.314610532,0,5.848434427,0,15.49541368,116.3059333,0,0.421759096,0,1.160443824,8.511329096
4,Heather Park,2.428638808,1.776315789,0.327159641,0.357692308,2.117152859,21.68170391,4.335003232,0.511041931,0.60453379,3.411035654,34.67492447,2.182192444,0.43965369,0.439054192,2.63966215,20.65636429,0.919889503,0.181141439,0.185772358,1.10990991,9.010327273,1.314189484,9.071302817,2.010399334,2.109445465,12.78371628,101.5712289,0,0,0,0,0
1,Denneoord,4.857277615,2.599486521,0.265983448,0.581613508,0.860631243,9.751328519,4.937960175,0.323401618,0.765131757,1.07929935,12.13882544,12.77380943,1.429768096,2.855637019,4.292133578,37.16073147,1.817342676,0.198813775,0.40779298,0.609096902,5.470722838,9.126042977,26.01915149,3.203563167,6.722785548,10.18539997,89.53589045,1.627893495,0.226309759,0.484933641,0.747212609,6.418563274
6,Thembalethu SP,63.144609,3.377192982,2.261844429,2.009259259,0.457409568,0,0,0,0,0,0,20.1516043,14.76367945,11.97913288,2.770015837,0,2.248618785,1.610146126,1.34168925,0.308308308,0,42.78245844,8.86971831,7.148086522,6.093953566,1.42041292,0,5.287304282,4.811177833,4.18816531,0.992824161,0
6,Thembalethu SP,19.42911046,2.87593985,3.972652779,5.791208791,3.570595099,4.668046688,0.401699141,0.355164277,0.560185751,0.329250546,0.427276651,13.71663822,20.72653108,27.59769205,17.28350217,17.265958,0.788476717,1.164480681,1.592334495,0.990990991,1.027012987,19.72804962,7.602615694,12.63679582,17.67916199,11.16038723,11.31999512,1.589134126,2.98243932,4.260488416,2.735331871,2.711137647
1,Denneoord,9.714555231,2.431578947,0.799723566,1.049230769,2.242613769,8.344636872,16.79638009,3.535857687,5.019264328,10.22696095,37.77353474,2.715617264,0.977008199,1.170811178,2.541896885,7.227285852,0.515138122,0.181141439,0.222926829,0.480960961,1.418647273,1.282829501,11.28873239,4.467554077,5.625187907,12.31024531,35.53792407,1.038234295,0.463935005,0.596468378,1.327547735,3.744984802
6,George NU,7.285916423,11.84210526,2.181064271,0,4.704784131,67.65921788,3.046218487,0.359110546,0,0.798981324,11.40543807,3.879453234,0.781606559,0,1.564244237,17.1892204,0.459944751,0.09057072,0,0.184984985,2.1088,5.248599953,9.676056338,2.144425957,0,4.545321345,50.71357814,0.617996604,0.154645002,0,0.340396855,3.711246201
